price,title,additional_info,description,link
4900 EUR,BMW X3 2007,Diésel · Manual · 150 caballos · 2007 · 275.000 km,vendo bmw x3 2007 motor 2.0 itv hasta 8/2025,https://es.wallapop.com/item/bmw-x3-2007-1093197939
2500 EUR,smart forfour 2006 impecable,Manual · 10 caballos · 2006 · 190.000 km,"NO NEGOCIABLE BLOQUEO MAREOS Y REGATEOS PEGATINA B ARA CIRCULAR SIN PROBLEMA IMPECABLE ESTADO ,ITV NUEVA A ESTRENAR !!!! EMBRAGUE HECHO ENTERO CON BIMASSA ESTA MAÑANA Y TIENE CADENA DE DISTRIBUCIÓN!!! SIN NADA QUE HACERLE LE VA TODO NEUMÁTICOS NUEVOS Y PEGATINA B MOTOR MERCEDES TECHO PANORÁMICO DE CRISTAL CLIMATIZADOR MANDO ETC VA ESTUPENDO PEQUEÑO Y NO GASTA NADA DE NADA ES UN DIESEL CON TURBO Y TRES CILINDROS PERFECTO UNICO DEFECTO AVECES MARCA LA GASOLINA MAL NADA MAS !! NO MAREAR",https://es.wallapop.com/item/smart-forfour-2006-impecable-1093169639
4500 EUR,BMW Serie 5 2008,Gasolina · Manual · 190 caballos · 2008 · 348.000 km,en perfecto estado con itv ruedas al 80% con mantenimientos de todas lad bujias y bobinas recien echo con factura de 560€ acepto cualquier prueba mecanica acepo cambio,https://es.wallapop.com/item/bmw-serie-5-2008-1093149831
1700 EUR,Renault Espace 2001,Diésel · Manual · 100 caballos · 2001 · 3.230.000 km,Vendo o cambio Renault space 1.9 diesel 7 plazas muy espaciosa anda perfectamente no tiene itv y no la paso por una luz de posición y una cubierta. de motor ba muy bien se le a puesto correa del alternador y alternador nuevos correa de distribución casi nueva palier nuevo rótula nueva la furgoneta esta para andar. No es un coche nuevo por ejemplo la puerta del copiloto no abre por dentro ni funciona la ventanilla. No mareantes ni ablar para perder el tiempo,https://es.wallapop.com/item/renault-espace-2001-1093141169
4500 EUR,SEAT Leon 2007,Diésel · Manual · 105 caballos · 2007 · 260.000 km,"Un coche que no tiene ningún problema, usado unilateralmente, todo el mundo tiene bueno, mejor, ve y prueba",https://es.wallapop.com/item/seat-leon-2007-1093202099
12.500 EUR,Harley Davidson nightster 975,92 caballos · 2022,Muy bien conservada con pocos kilómetros. Biplaza homologada con respaldo de quita y pon. Cambio de nombre incluido.,https://es.wallapop.com/item/harley-davidson-nightster-975-1093201488
4500 EUR,Audi A3 2005,Diésel · Manual · 105 caballos · 2005,El coche está estupendo de todo itv al día kilómetros 260000 es diésel las 4 ruedas nuevas,https://es.wallapop.com/item/audi-a3-2005-1093201170
8900 EUR,Iveco Daily 2012,Diésel · Manual · 126 caballos · 2012 · 281.000 km,un inyectores fallas 604383484,https://es.wallapop.com/item/iveco-daily-2012-1093199155
3000 EUR,Ford Mondeo 2006,Diésel · Manual · 115 caballos · 2006 · 216.000 km,"coche color negro en buen estado , cualquier cosa privado me urge la venta",https://es.wallapop.com/item/ford-mondeo-2006-1093198563
N/A,N/A,N/A,N/A,N/A
10.000 EUR,Volkswagen Golf 2014,Diésel · Manual · 105 caballos · 2014 · 188.000 km,"- Extras: GPS, sensores de aparcamiento, control de crucero, climatizador bizona, faros LED, llantas de aleación, Bluetooth, volante multifunción, y más. Ideal para quien busca un coche económico y bien cuidado.",https://es.wallapop.com/item/volkswagen-golf-2014-1093198423
1700 EUR,Citroen Berlingo 2004,Diésel · Manual · 2004 · 239.986 km,N/A,https://es.wallapop.com/item/citroen-berlingo-2004-1093196619
8900 EUR,Iveco Daily 2012,Diésel · Manual · 126 caballos · 2012 · 281.000 km,fallan los inyectores? Cartaya,https://es.wallapop.com/item/iveco-daily-2012-1093195716
35.500 EUR,Ford Mustang 5.0,Gasolina · Manual · 480 caballos · 2011 · 73.000 km,"Ford Mustang GT 5.0 Coyote. Motor V8 con 480 cv. Admisión y escapes Roush con un sonido increíble. Llantas American Muscle con neumáticos nuevos en doble medida. Rejillas, taloneras, alerón...todo homologado en ficha. Suspensión y copelas del Shelby. Siempre en garaje privado. Impotulo por dentro y por fuera.",https://es.wallapop.com/item/ford-mustang-5-0-1093195343
6500 EUR,Volkswagen Golf GTI,Gasolina · Automático · 210 caballos · 2010 · 225.000 km,"Volkswagen golf VI GTI averiado del cambio nacional 5 puertas cargado de extras como techo solar, ABS SP, levas, faros de xenon direccionales. aparca solo",https://es.wallapop.com/item/volkswagen-golf-gti-1093194554
4600 EUR,Citroen C2 2005,Diésel · Manual · 68 caballos · 2005 · 104.200 km,"¡IMPECABLE CITROËN C2 1.4 HDi 68CV – COMO NUEVO! Año: 2005 | Kilómetros: 104.000 | Diésel Si buscas un coche fiable, económico y en perfecto estado, este es el tuyo. Con un consumo muy bajo, totalmente revisado y perfecto tanto para ciudad como para trayectos largos. No tendrás que gastar ni un euro extra. 🛠 Mantenimiento al día y sin sorpresas: Kit de distribución recién cambiado. Neumáticos nuevos para máxima seguridad. Embrague nuevo. Cambio de aceite y filtro recién realizado. 💨 Equipamiento completo para tu comodidad: Aire acondicionado cargado y listo para el verano. Cierre centralizado. Elevalunas eléctricos. Radio/CD para tus trayectos. TODO INCLUIDO por solo 4.600 €: Cambio de nombre incluido. 1 año de garantía total. El coche está totalmente revisado, y si lo deseas, puedes solicitar un informe pericial sin compromiso para mayor tranquilidad. 🚗 Listo para entregar y disfrutar. Si te interesa, no dudes en contactarme para más información o concertar una visita.",https://es.wallapop.com/item/citroen-c2-2005-1093194460
22.400 EUR,Citroen Jumper 2020,Diésel · Manual · 140 caballos · 2020,"Vehículo nacional en perfecto estado tanto interior, exterior como de mecánica, ITV recién pasada trasferencia por cuenta del comprador.",https://es.wallapop.com/item/citroen-jumper-2020-1093190400
2000 EUR,Peugeot 307 2007,Diésel · Manual · 136 caballos · 2007 · 284.000 km,"Coche en buen estado general, solo tiene que de vez en cuando da un tirón pero es muy ocasional se vende así por qué ya me he comprado otro coche y no lo voy a arreglar se puede ver y probar sin compromiso",https://es.wallapop.com/item/peugeot-307-2007-1093187976
5000 EUR,Volvo S60 2006,Diésel · Manual · 140 caballos · 2006 · 64.000 km,Vendo coche en perfecto estado con todo el mantenimiento hecho y unico dueño se puede ver sin ningun compromiso,https://es.wallapop.com/item/volvo-s60-2006-1093186939
